秘密工作,医生/药剂师,除了女仆技艺以外，你还在医学方面造诣颇深。
秘密工作,同人志作者,女仆工作闲暇时你会创作同人志。你自己决定同人志的类型。
秘密工作,创作者,你不仅是个女仆，还是个专家级的画家、诗人或作家等等。你自己决定创作流派。
组织成员,邪恶集会,你隶属于一个邪恶的秘密集会，你们的目标是统治或毁灭世界。
组织成员,秘密特工,你隶属某个潜伏在政府或国家内的秘密组织，某种高智商特工或间谍。
组织成员,教派成员,你是某个古怪的教派的一员。你可能是信徒，领袖，甚至创立者。
组织成员,政治团体,你属于某个政治团体，这种团体的政治纲领通常是几近疯狂的。
组织成员,影氏族,你隶属某个历史悠久的组织。你可能是个忍者，魔法师，功夫刺客等等。
组织成员,政府机关,你是为政府工作的女仆。你可能是个护士，秘探，或某个政治家的秘书。
变形者,狐狸,你其实是只狐狸。你能随意展示或隐匿你的耳朵和尾巴。
变形者,蜘蛛,你其实是只蜘蛛。你能变成一人大小的蜘蛛，或者能随意变出六只手臂。
变形者,乌鸦,你其实是只乌鸦。你能随意展示或隐匿你的黑色翅膀。
变形者,兔子,你其实是只兔子。你有兔耳和尾巴。
变形者,虎/狮,你其实是某种猎食性猫科动物。你能随意展示或隐匿你的耳朵、尾巴、尖牙和利爪。
变形者,蛇,你其实是条蛇。你能转化为纳迦形态，把下半身变成蛇尾。
怪物,人鱼,你其实是只人鱼。你喜爱水，且你的耳朵有时看上去像鱼鳍。
怪物,僵尸/木乃伊,你其实是具活动的尸体。你的脸色很差，身上有显著的伤口。
怪物,狼人,你是个狼人（或虎人）。无论是否情愿，你在满月时会变成狼（或虎）。
怪物,魅魔,你是个魅魔，一种激发人类欲望以捕猎他们的恶魔。你有一些可以随意展示或隐匿的恶魔体征（由你指定）。
怪物,幽灵,你是个幽灵。你可能是宅邸主人的祖先，或只是个曾在此工作的女仆。
怪物,死神,你是个死神，周身环绕着死亡的气息。你出现在这里可能是为了带某个人到另一个世界，也可能是出于某些更世俗化的理由。
魔法,女祭司,你能使用一些基于某种宗教仪式的魔法。施展魔法需要各种宗教符号。
魔法,阴阳师,你使用基于道教的东方魔法。你的关键道具是咒符，一种用毛笔写上诅咒或迷咒的纸带。
魔法,占卜者,在一定限制内，你能预测未来。预言的方式多种多样。
魔法,西洋魔法师,你研究炼金术或卡拉巴，或其它西方巫术。你是个持手杖的传统魔法师。
魔法,恶魔召唤者,你知道召唤恶魔的咒语。你的工具包括魔法环，黑斗篷和古老的书籍。
魔法,死灵法师,你的魔力使你能控制死者的灵魂和肉体。行此事需要黑衣和一些颅骨。
荒诞,外星人,你来自这个宇宙的其它世界。你的身体有些异于人类的特征，由你指定。
荒诞,人偶,你被某个邪恶组织收纳在了一具傀儡之中。你的外形可能会有些特殊。
荒诞,外逃忍者,你逃出了自己的忍之里。
荒诞,魔法少女,为了修行，你从自己那充满魔法的国度来到这里。
荒诞,妖精,你就是妖精传说的一部分。你可以是个皮克精，或某些更特别的东西。
荒诞,变种人,你的身体发生了某种强烈的变异。
